cloAtm_GNOS.007.C10.13.2024.152.46711.0122.03.0000_bin.ROX

file type: A
DATA_INTEGRETY_OCC_CLO: 100.00%
DATA_INTEGRETY_REF_CLO: 50.99%
DATA_INTEGRETY_OCC_OPE: 89.00%
DATA_INTEGRETY_REF_OPE: 50.50% 

START OF OBS CLO
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:42.840000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:42.860000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:42.880000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:42.900000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:42.920000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:42.940000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:42.960000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:42.980000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.020000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.040000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.060000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.080000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.100000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.120000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.140000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.160000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.180000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.200000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.220000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.240000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.260000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.280000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.300000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.320000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.340000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.360000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.380000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.400000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.420000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.440000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.460000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.480000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.500000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.520000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.540000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.560000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.580000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.600000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.620000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.640000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.660000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.680000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.700000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.720000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.740000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.760000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.780000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.800000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.820000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.840000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.860000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.880000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.900000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.920000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.940000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.960000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:43.980000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.020000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.040000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.060000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.080000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.100000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.120000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.140000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.160000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.180000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.200000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.220000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.240000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.260000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.280000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.300000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.320000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.340000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.360000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.380000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.400000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.420000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.440000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.460000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.480000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.500000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.520000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.540000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.560000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.580000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.600000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.620000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.640000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.660000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.680000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.700000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.720000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.740000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.760000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.780000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.800000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.820000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.840000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.860000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.880000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.900000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.920000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.940000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.960000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:44.980000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.020000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.040000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.060000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.080000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.100000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.120000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.140000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.160000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.180000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.200000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.220000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.240000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.260000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.280000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.300000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.320000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.340000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.360000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.380000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.400000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.420000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.440000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.460000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.480000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.500000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.520000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.540000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.560000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.580000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.600000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.620000 
