cloAtm_GNOS.007.C10.09.2024.152.19615.0102.03.0000_bin.ROX

file type: A
DATA_INTEGRETY_OCC_CLO: 100.00%
DATA_INTEGRETY_REF_CLO: 51.00%
DATA_INTEGRETY_OCC_OPE: 88.99%
DATA_INTEGRETY_REF_OPE: 50.50% 

START OF OBS CLO
TIME 2024-05-31 05:27:05.020000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.040000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.060000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.080000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.100000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.120000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.140000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.160000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.180000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.200000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.220000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.240000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.260000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.280000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.300000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.320000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.340000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.360000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.380000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.400000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.420000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.440000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.460000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.480000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.500000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.520000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.540000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.560000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.580000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.600000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.620000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.640000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.660000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.680000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.700000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.720000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.740000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.760000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.780000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.800000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.820000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.840000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.860000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.880000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.900000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.920000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.940000 
C09  ['C2I', 'C6I'] 
TIME 2024-05-31 05:27:05.960000 
C09  ['C2I', 'C6I'] 
